Entry	yourlist:M20170210A7434721E10EE6586998A056CCD0537E71EBC78	Involvement in disease	Cross-reference (Orphanet)
P15502	ELN	DISEASE: Cutis laxa, autosomal dominant, 1 (ADCL1) [MIM:123700]: A connective tissue disorder characterized by loose, hyperextensible skin with decreased resilience and elasticity leading to a premature aged appearance. Face, hands, feet, joints, and torso may be differentially affected. Additional variable clinical features are gastrointestinal diverticula, hernia, and genital prolapse. Rare manifestations are pulmonary artery stenosis, aortic aneurysm, bronchiectasis, and emphysema. {ECO:0000269|PubMed:9873040}. Note=The disease is caused by mutations affecting the gene represented in this entry.; DISEASE: Supravalvular aortic stenosis (SVAS) [MIM:185500]: Congenital narrowing of the ascending aorta which can occur sporadically, as an autosomal dominant condition, or as one component of Williams-Beuren syndrome. {ECO:0000269|PubMed:10942104}. Note=The disease is caused by mutations affecting the gene represented in this entry.; DISEASE: Note=ELN is located in the Williams-Beuren syndrome (WBS) critical region. WBS results from a hemizygous deletion of several genes on chromosome 7q11.23, thought to arise as a consequence of unequal crossing over between highly homologous low-copy repeat sequences flanking the deleted region. Haploinsufficiency of ELN may be the cause of certain cardiovascular and musculo-skeletal abnormalities observed in the disease (PubMed:8812460). {ECO:0000269|PubMed:8812460}.	90348;3193;904;
P60002	ELOF1		
Q9BW60	ELOVL1		
Q9NXB9	ELOVL2		
Q9HB03	ELOVL3		
Q9GZR5	ELOVL4	DISEASE: Stargardt disease 3 (STGD3) [MIM:600110]: A common hereditary macular degeneration. It is characterized by decreased central vision, atrophy of the macula and underlying retinal pigment epithelium, and frequent presence of prominent flecks in the posterior pole of the retina. {ECO:0000269|PubMed:11138005, ECO:0000269|PubMed:11581213}. Note=The disease is caused by mutations affecting the gene represented in this entry.; DISEASE: Ichthyosis, spastic quadriplegia, and mental retardation (ISQMR) [MIM:614457]: A severe autosomal recessive disorder characterized by ichthyosis apparent from birth, profound psychomotor retardation with essentially no development, spastic quadriplegia, and seizures. {ECO:0000269|PubMed:22100072}. Note=The disease is caused by mutations affecting the gene represented in this entry.; DISEASE: Spinocerebellar ataxia 34 (SCA34) [MIM:133190]: A form of spinocerebellar ataxia, a clinically and genetically heterogeneous group of cerebellar disorders. Patients show progressive incoordination of gait and often poor coordination of hands, speech and eye movements, due to degeneration of the cerebellum with variable involvement of the brainstem and spinal cord. SCA34 is an autosomal dominant form characterized by the association of progressive cerebellar ataxia with erythrokeratodermia variabilis. {ECO:0000269|PubMed:24566826}. Note=The disease is caused by mutations affecting the gene represented in this entry.	352333;1955;827;
Q9NYP7	ELOVL2,ELOVL5	DISEASE: Spinocerebellar ataxia 38 (SCA38) [MIM:615957]: A form of spinocerebellar ataxia, a clinically and genetically heterogeneous group of cerebellar disorders. Patients show progressive incoordination of gait and often poor coordination of hands, speech and eye movements, due to degeneration of the cerebellum with variable involvement of the brainstem and spinal cord. SCA38 is an autosomal dominant form characterized by adult-onset of slowly progressive gait ataxia accompanied by nystagmus. Brain MRI shows cerebellar atrophy. {ECO:0000269|PubMed:25065913}. Note=The disease is caused by mutations affecting the gene represented in this entry.	
Q9H5J4	ELOVL6		
A1L3X0	ELOVL7		
Q6IA86	ELP2		
Q9H9T3	ELP3	DISEASE: Note=ELP3 genetic variations may be associated with an increased risk for neurodegeneration and motor neuron diseases. {ECO:0000303|PubMed:18996918}.	
Q96EB1	ELP4		
Q8TE02	ELP5		
Q6PCB8	EMB		
Q15006	EMC2		
Q9BV81	EMC6		
O43402	EMC8		
Q9Y3B6	EMC9		
Q9ULC0	EMCN		
P50402	EMD	DISEASE: Emery-Dreifuss muscular dystrophy 1, X-linked (EDMD1) [MIM:310300]: A form of Emery-Dreifuss muscular dystrophy, a degenerative myopathy characterized by weakness and atrophy of muscle without involvement of the nervous system, early contractures of the elbows, Achilles tendons and spine, and cardiomyopathy associated with cardiac conduction defects. {ECO:0000269|PubMed:10323252, ECO:0000269|PubMed:11587540}. Note=The disease is caused by mutations affecting the gene represented in this entry.	98863;
Q96AY2	EME1		
A4GXA9	EME2		
Q92979	EMG1	DISEASE: Bowen-Conradi syndrome (BWCNS) [MIM:211180]: A combination of malformations characterized in newborns by low birth weight, microcephaly, mild joint restriction, a prominent nose, micrognathia, fifth finger clinodactyly, and 'rocker-bottom' feet. The syndrome is transmitted as an autosomal recessive trait. The prognosis is poor, with all infants dying within the first few months of life. {ECO:0000269|PubMed:19463982}. Note=The disease is caused by mutations affecting the gene represented in this entry.	1270;
Q9Y6C2	EMILIN1		
Q9BXX0	EMILIN2		
O00423	EML1	DISEASE: Band heterotopia (BH) [MIM:600348]: A brain malformation of the lissencephaly spectrum, resulting from disordered neuronal migration and characterized by bands of gray matter interposed in the central white matter. Disease features include severe developmental delay with intellectual disability, enlarged head circumference, periventricular and ribbon-like subcortical heterotopia, polymicrogyria and agenesis of the corpus callosum. {ECO:0000269|PubMed:24859200}. Note=The disease is caused by mutations affecting the gene represented in this entry.	
O95834	EML2		
Q32P44	EML3		
Q9HC35	EML4		357191;
Q05BV3	EML5		
P54849	EMP1		
P54851	EMP2	DISEASE: Nephrotic syndrome 10 (NPHS10) [MIM:615861]: A form of nephrotic syndrome, a renal disease clinically characterized by focal segmental glomerulosclerosis, progressive renal failure, severe proteinuria, hypoalbuminemia, hyperlipidemia and edema. NPHS10 is a steroid-sensitive form characterized by onset in childhood and remission without end-stage kidney disease. {ECO:0000269|PubMed:24814193}. Note=The disease is caused by mutations affecting the gene represented in this entry.	93216;93209;93206;93207;
P54852	EMP3		
Q7Z589	EMSY		
Q04741	EMX1		
Q04743	EMX2	DISEASE: Schizencephaly (SCHZC) [MIM:269160]: Extremely rare human congenital disorder characterized by a full-thickness cleft within the cerebral hemispheres. These clefts are lined with gray matter and most commonly involve the parasylvian regions. Large portions of the cerebral hemispheres may be absent and replaced by cerebro-spinal fluid. {ECO:0000269|PubMed:8528262}. Note=The disease is caused by mutations affecting the gene represented in this entry.	799;
Q05925	EN1		
P19622	EN2	DISEASE: Note=Genetic variations in EN2 may be associated with susceptibility to autism.	106;
Q8N8S7	ENAH		
Q9NRM1	ENAM	DISEASE: Amelogenesis imperfecta 1B (AI1B) [MIM:104500]: An autosomal dominant defect of enamel formation. Clinical manifestations may be variable. Some cases present with generalized enamel hypoplasia resulting in small, smooth, yellow and widely spaced teeth (smooth hypoplastic AI). Others show horizontal rows of pits, grooves or a hypoplastic area in the enamel (local hypoplastic AI). {ECO:0000269|PubMed:11487571, ECO:0000269|PubMed:11978766, ECO:0000269|PubMed:20439930, ECO:0000269|PubMed:25789606}. Note=The disease is caused by mutations affecting the gene represented in this entry.; DISEASE: Amelogenesis imperfecta 1C (AI1C) [MIM:204650]: An autosomal recessive defect of dental enamel formation. Teeth show local hypoplastic and unmineralized enamel, and a yellow-brown discoloration. Enamel defects can be associated with facial and oral features including vertical dysgnathia and anterior openbite malocclusion. {ECO:0000269|PubMed:14684688, ECO:0000269|PubMed:20439930}. Note=The disease is caused by mutations affecting the gene represented in this entry.	100031;
O14682	ENC1		
O94919	ENDOD1		
Q14249	ENDOG		
P21128	ENDOU		
Q8N8Q3	ENDOV		
P17813	ENG	DISEASE: Telangiectasia, hereditary hemorrhagic, 1 (HHT1) [MIM:187300]: A multisystemic vascular dysplasia leading to dilation of permanent blood vessels and arteriovenous malformations of skin, mucosa, and viscera. The disease is characterized by recurrent epistaxis and gastro-intestinal hemorrhage. Visceral involvement includes arteriovenous malformations of the lung, liver, and brain. {ECO:0000269|PubMed:10545596, ECO:0000269|PubMed:10625079, ECO:0000269|PubMed:10982033, ECO:0000269|PubMed:15024723, ECO:0000269|PubMed:15712270, ECO:0000269|PubMed:16525724, ECO:0000269|PubMed:16752392, ECO:0000269|PubMed:20414677, ECO:0000269|PubMed:9157574, ECO:0000269|PubMed:9245986, ECO:0000269|PubMed:9554745}. Note=The disease is caused by mutations affecting the gene represented in this entry.	231160;329971;774;
Q8NFI3	ENGASE		
Q9H0I2	ENKD1		
P06733	ENO1		
P09104	ENO2		
P13929	ENO3	DISEASE: Glycogen storage disease 13 (GSD13) [MIM:612932]: A metabolic disorder that results in exercise-induced myalgias, generalized muscle weakness and fatigability. It is characterized by increased serum creatine kinase and decreased enolase 3 activity. Dramatically reduced protein levels with focal sarcoplasmic accumulation of glycogen-beta particles are detected on ultrastructural analysis. {ECO:0000269|PubMed:11506403}. Note=The disease is caused by mutations affecting the gene represented in this entry.	99849;
Q9UHY7	ENOPH1		
Q7L5Y1	ENOSF1		
Q8TC92	ENOX1		
Q16206	ENOX2		
Q07075	ENPEP		
P22413	ENPP1	DISEASE: Ossification of the posterior longitudinal ligament of the spine (OPLL) [MIM:602475]: A calcification of the posterior longitudinal ligament of the spinal column, usually at the level of the cervical spine. Patients with OPLL frequently present with a severe myelopathy that can lead to tetraparesis. {ECO:0000269|PubMed:10453738}. Note=The disease is caused by mutations affecting the gene represented in this entry.; DISEASE: Arterial calcification of infancy, generalized, 1 (GACI1) [MIM:208000]: A severe autosomal recessive disorder characterized by calcification of the internal elastic lamina of muscular arteries and stenosis due to myointimal proliferation. The disorder is often fatal within the first 6 months of life because of myocardial ischemia resulting in refractory heart failure. {ECO:0000269|PubMed:12881724, ECO:0000269|PubMed:15605415, ECO:0000269|PubMed:15940697, ECO:0000269|PubMed:20016754, ECO:0000269|PubMed:22209248, ECO:0000269|PubMed:23430823, ECO:0000269|PubMed:27467858}. Note=The disease is caused by mutations affecting the gene represented in this entry.; DISEASE: Diabetes mellitus, non-insulin-dependent (NIDDM) [MIM:125853]: A multifactorial disorder of glucose homeostasis caused by a lack of sensitivity to the body's own insulin. Affected individuals usually have an obese body habitus and manifestations of a metabolic syndrome characterized by diabetes, insulin resistance, hypertension and hypertriglyceridemia. The disease results in long-term complications that affect the eyes, kidneys, nerves, and blood vessels. {ECO:0000269|PubMed:16186408}. Note=Disease susceptibility is associated with variations affecting the gene represented in this entry.; DISEASE: Hypophosphatemic rickets, autosomal recessive, 2 (ARHR2) [MIM:613312]: A hereditary form of hypophosphatemic rickets, a disorder of proximal renal tubule function that causes phosphate loss, hypophosphatemia and skeletal deformities, including rickets and osteomalacia unresponsive to vitamin D. Symptoms are bone pain, fractures and growth abnormalities. {ECO:0000269|PubMed:20137772, ECO:0000269|PubMed:20137773, ECO:0000269|PubMed:25741938}. Note=The disease is caused by mutations affecting the gene represented in this entry.; DISEASE: Cole disease (COLED) [MIM:615522]: A rare autosomal dominant genodermatosis characterized by punctate keratoderma associated with irregularly shaped hypopigmented macules, which are typically found over the arms and legs but not the trunk or acral regions. Skin biopsies of palmoplantar lesions show hyperorthokeratosis, hypergranulosis, and acanthosis. Hypopigmented areas of skin, however, reveal a reduction in melanin content in keratinocytes but not in melanocytes, as well as hyperkeratosis and a normal number of melanocytes. Ultrastructurally, melanocytes show a disproportionately large number of melanosomes in the cytoplasm and dendrites, whereas keratinocytes show a paucity of these organelles, suggestive of impaired melanosome transfer. Some patients also exhibit calcinosis cutis or calcific tendinopathy. {ECO:0000269|PubMed:24075184, ECO:0000269|PubMed:26617416}. Note=The disease is caused by mutations affecting the gene represented in this entry.	289176;51608;324561;
Q13822	ENPP2		
O14638	ENPP3		
Q9Y6X5	ENPP4		
Q6UWR7	ENPP6		
Q6UWV6	ENPP7		
O43768	ENSA		
P49961	ENTPD1	DISEASE: Spastic paraplegia 64, autosomal recessive (SPG64) [MIM:615683]: A form of spastic paraplegia, a neurodegenerative disorder characterized by a slow, gradual, progressive weakness and spasticity of the lower limbs. Rate of progression and the severity of symptoms are quite variable. Initial symptoms may include difficulty with balance, weakness and stiffness in the legs, muscle spasms, and dragging the toes when walking. In some forms of the disorder, bladder symptoms (such as incontinence) may appear, or the weakness and stiffness may spread to other parts of the body. {ECO:0000269|PubMed:24482476}. Note=The disease is caused by mutations affecting the gene represented in this entry.	401810;
